,GLD,TLT,XLE,XLF,XLK,XLP,XLV
2011-01-04,0.22470376937901615,0.23641553486033146,0.0683657255350695,0.05684646063786098,0.13270858816405748,0.16920507110205174,0.1117548503216127
2011-02-03,0.22302367295607764,0.23105999071715297,0.07223060723253165,0.06149348603754699,0.13438101916980344,0.1631408705000366,0.11467035338685075
2011-03-07,0.23870357904336414,0.22361205907229315,0.07620541558838022,0.06488875273576648,0.12669925956214562,0.15957883105496484,0.11031210294308552
2011-04-05,0.2452166499189261,0.21824469553536008,0.04552655484868767,0.020168966183231746,0.036626650243814424,0.25630646241939103,0.1779100208505889
2011-05-05,0.27220132105253037,0.24666889782689505,0.05679922027759083,0.021724181414720278,0.12066219585702997,0.0875583242496477,0.1943858593215858
2011-06-06,0.23973868304377124,0.22909451140736745,0.06534786681794547,0.027196095929141042,0.1274880531932412,0.11023297037679028,0.20090181923174333
2011-07-06,0.22408792202908856,0.1913824184699351,0.05903289018914915,0.03257079077843819,0.054239593850350015,0.27327827606446237,0.1654081086185766
2011-08-04,0.2196899286002483,0.1775191333017818,0.05820055379869399,0.035243816289237756,0.056330557449558366,0.29007377531348727,0.16294223524699253
2011-09-02,0.23595037714016007,0.2126294524566312,0.04439769313122621,0.02177350127949435,0.03991278299109984,0.2827575907059353,0.162578602295453
2011-10-04,0.21798437785570005,0.2272314999688587,0.04293434230539145,0.02044061477994441,0.0405831306215389,0.28539877486924564,0.16542725959932084
2011-11-02,0.2421654174940138,0.2246979592148042,0.03493344569119251,0.015102499570058072,0.03351562168241936,0.28574076948908406,0.163844286858428
2011-12-02,0.25447258765939573,0.24617909059077714,0.034473574709723065,0.014881015104684751,0.03246116928675708,0.26707756214205935,0.15045500050660288
2012-01-04,0.2524443124101407,0.2639130272958427,0.03323349643818906,0.01451891149562883,0.03161365393423196,0.2582161935634633,0.14606040486250357
2012-02-03,0.25690698394449707,0.2626436011888229,0.033354458028700795,0.014379862999796064,0.03168361047627075,0.25509874810090977,0.14593273526100264
2012-03-06,0.23915312611057535,0.2636071392779847,0.03515874053259648,0.015011494556980039,0.03345850856495214,0.26279080897255425,0.15082018198435715
2012-04-04,0.23066247779327786,0.2535546008150789,0.03727816164033669,0.01519522275003498,0.035203448861407104,0.2732740654738909,0.15483202266597357
2012-05-04,0.23547071823322008,0.2517999778891146,0.03696459955074076,0.014695464272077753,0.033473051843397106,0.27092942335948755,0.15666676485196213
2012-06-05,0.22735919428177787,0.2480167346010096,0.036560119042937815,0.014365668835981399,0.03273618228859709,0.27997795433551437,0.1609841466141819
2012-07-05,0.22640452757319526,0.24868882964765818,0.036457484308799276,0.014407323941021316,0.03270555058505881,0.2807597020506648,0.16057658189360233
2012-08-03,0.2257121661960031,0.25580049027505647,0.03657443705218817,0.014554802939418163,0.03309196536955029,0.2760746546726183,0.15819148349516549
2012-09-04,0.2053848825205591,0.24388972749648757,0.04279305345744156,0.0178101805084375,0.04081645574133076,0.2808317255969911,0.16847397467875241
2012-10-03,0.16062955253170882,0.2740609736004391,0.02311666077722885,0.016804936914734916,0.04284905484186916,0.42498401476085224,0.05755480657316696
2012-11-05,0.1443758881888014,0.2889213859576054,0.024899806618660987,0.02809945425843895,0.04684655358886106,0.3976900096254898,0.06916690176214244
2012-12-05,0.13943295557873442,0.2621974062534953,0.027381159039108646,0.033046700083470354,0.05136395283482477,0.40667471372173,0.07990311248863653
2013-01-07,0.220735271520209,0.24489164072056824,0.07152514355660705,0.09134611113371362,0.12480405158114295,0.13808910613378908,0.10860867535397009
2013-02-06,0.1994059980980711,0.21681644314142748,0.05704239722940603,0.03494034810257783,0.04554116237560829,0.252476586003412,0.19377706504949727
2013-03-08,0.22716609859549416,0.22073960238077087,0.052238153736536105,0.032673934087672635,0.042321333268729375,0.23870666123853784,0.186154216692259
2013-04-09,0.24913646368045791,0.2376070155658311,0.07377856311112277,0.08540885206202506,0.05048522828294257,0.21105643520831788,0.09252744208930269
2013-05-08,0.17472059045961547,0.28520470904495543,0.03194971989492513,0.10646655005460892,0.12940888588521277,0.19306886594635167,0.0791806787143306
2013-06-07,0.15972827403521905,0.2743366878306078,0.039261635850334924,0.11144031829765075,0.1332997295116667,0.19610828496309013,0.08582506951143072
