,GLD,TLT,XLE,XLF,XLK,XLP,XLV
2019-01-03,0.276916204970999,0.3217449712528129,0.04884693964809411,0.1098413090570885,0.021242329322978717,0.1387699634883803,0.08263828225964652
2019-02-04,0.2788251984482356,0.32233071977469674,0.0523638706040129,0.11256440134132342,0.01926491044273237,0.13411685880091417,0.08053404058808476
2019-03-06,0.2565702048346392,0.3025140891020094,0.0643818468276962,0.11788092259152723,0.028155343641271792,0.1484656357833781,0.08203195721947801
2019-04-04,0.24428079944295222,0.2957416684391442,0.065238038812558,0.13065668782551756,0.03227642929571117,0.14914149823511372,0.08266487794900323
2019-05-06,0.24236438303101904,0.28817042070701093,0.063329319384752,0.1252486424682228,0.041283587455013086,0.15668423738589599,0.0829194095680861
2019-06-05,0.2411982705846601,0.29971944428285263,0.06182309052770616,0.11845985800529503,0.03782981618691256,0.15646517739217916,0.08450434302039436
2019-07-05,0.23288825732701346,0.2902102734969756,0.06934151661545714,0.12966466475840793,0.038546786505315095,0.15294075818892347,0.08640774310790725
2019-08-05,0.2239025839378918,0.29674537834242193,0.07944482114335409,0.12367376783455906,0.033494027240548646,0.15479466041605466,0.08794476108516984
2019-09-04,0.22554691210087896,0.29469401536266726,0.08435868439020176,0.12827862258943618,0.028022108416875025,0.1513580255747972,0.08774163156514368
2019-10-03,0.2366283814514913,0.2919406529408109,0.07852971300656299,0.13080217619574747,0.024420131816144244,0.15120940681195605,0.08646953777728708
2019-11-01,0.2251893666721438,0.2843352264508113,0.08179429092585241,0.13365348681759256,0.03795999834854311,0.1440418589548583,0.0930257718301985
2019-12-03,0.2186613095639886,0.2699837526349481,0.09464424468939688,0.13065564810999913,0.04751212795227013,0.13734835496868802,0.10119456208070908
2020-01-03,0.20246175822639553,0.24947422432607572,0.09966547898595346,0.13425771744929704,0.06006412270889359,0.14796617432477552,0.10611052397860911
2020-02-04,0.18260805159515422,0.22846019075320875,0.10430795163987655,0.1342550378675822,0.0774461379002206,0.15651313473755787,0.11640949550639978
2020-03-05,0.1995513180639546,0.28598775666087256,0.10178450660926178,0.12526329103611225,0.07142312583203347,0.12175305411444555,0.09423694768331987
2020-04-03,0.2699776151377853,0.38037564883054187,-0.038657898232250826,0.05062172641349641,0.06355458515888572,0.12851612732259,0.14561219536895162
2020-05-05,0.3024426904849071,0.4122340632866988,-0.04110353452932427,-0.015801143787602258,-0.00800591419510007,0.13479646344130916,0.21543737529911147
2020-06-04,0.28832611346276865,0.4140615011925585,-0.03723763121581394,0.014794748484202761,-0.007626626923981674,0.16272981615379578,0.16495207884646984
2020-07-06,0.2196659445622895,0.2539710034361948,0.06655690510667915,0.1134831463639355,0.07602636266042917,0.13897221766870385,0.13132442020176804
2020-08-04,0.2285337164483517,0.2745095518598761,0.013304439423491462,0.08200808341044652,0.09582684483878127,0.16037151260317462,0.1454458514158784
2020-09-02,0.19705078733186687,0.26869414917052387,0.01206537799144267,0.09807031396480974,0.09987092248389476,0.1679219420882003,0.15632650696926179
2020-10-02,0.2018859352710855,0.30457786461512165,0.012517246830155074,0.09414340165429007,0.06472620180651001,0.1669524165962983,0.15519693322653938
2020-11-02,0.20390856359903548,0.3343516339476637,0.009588403517588011,0.10076793822848691,0.04007926942468448,0.16344175865136945,0.14786243263117185
